"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","913270","940585","968173","998271","1028756","1057690","1087375","1107090","1129174","1163094","1221081","1279992","1310937","1351129","1405156","1464221","1527237","1589371","1642565","1713370","1788389","1842541","1885755","1920680","1957890","1997819","2041567","2089890","2141363","2195681","2234418","2299859",
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13855786","14199208","14593105","15034014","15502542","15968712","16364651","16806011","17180006","17419738","17858301","18268713","18646803","19258301","19248117","19445701","19455600","19444239","19971706","21259578","22128149","22789274","23525350","23805205","24245416","24759082","25039982","25528732","26010171","26304741","24932942","25983569",
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97829","100430","102831","105057","107305","109672","112210","114882","117667","119936","121592","123296","125021","127457","130933","136156","141521","147019","152664","158474","164449","170591","176900","183361","189967","195023","200182","205077","209548","213852","216650","222259",
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117561","119861","122939","126589","130614","134896","139411","144118","148943","153844","158891","164071","169257","174444","179617","184772","189912","195035","200110","205079","209631","214157","218615","223037","227455","231746","235863","239923","228928","240383","230599","238605",
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1166225","1182040","1199255","1255519","1305626","1370420","1363273","1460486","1546631","1594177","1619332","1727162","1762911","1819682","1828417","1943857","1977908","2050045","2078889","2099430","2060686","2149242","2321866","2337155","2395003","2380188","2223154","2335223","2459739","2573190","2456537","2529009",
"Caribbean small states","CSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2364960","2385235","2415035","2439797","2472747","2508009","2535726","2571846","2605353","2628584","2660344","2683817","2717167","2757840","2857701","2909115","2951673","2991517","3034884","3029931","3026352","3057396","3109380","3168055","3207922","3237248","3303493","3338554","3364163","3412418","3272802","3356998",
"Cuba","CUB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4366972","4372374","4363499","4331548","4355052","4379516","4421191","4448586","4472895","4523200","4574917","4617677","4654474","4702617","4760536","4838868","4917576","4973753","5012770","5148033","5108192","5177768","5206907","5236610","5259288","5294366","5310520","5328847","5345409","5347554","4938351","5043018",
"Curacao","CUW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","351034","359709","363014","370304","378757","388178","398430","409359","420762","432477","444376","466012","478168","499598","510737","524879","541304","562541","574967","584396","602913","608583","612980","618239","628856","620365","615687","625144","638543","649712","651740","666826",
"Czechia","CZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4975962","5010134","5050209","5089950","5143883","5166080","5168272","5144206","5158527","5180055","5145060","5113433","5111439","5111710","5110793","5171492","5191920","5188504","5211811","5255697","5239650","5222763","5254149","5302824","5300088","5309480","5354440","5386053","5425122","5421467","5375292","5274427",
"Germany","DEU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38653848","39804077","39606054","39581565","39633067","39488772","39594509","39749959","39817898","40025496","39865801","40029198","40056637","40236914","40039825","41239998","41693115","41861248","41917491","41978630","41949334","41729225","41853628","42212987","42458390","42660627","43567225","43819028","43935037","44433742","43501191","43386526",
"Djibouti","DJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120126","131343","130342","127734","130235","131754","135125","141263","148782","155131","160449","166178","171588","174770","176357","178300","180817","184112","187329","190717","194134","198220","202429","206808","211319","215865","220843","225672","230408","235094","230671","238367",
"Dominica","DMA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2905194","2903665","2924273","2898901","2775171","2793251","2827134","2841305","2832388","2861273","2853060","2841508","2868928","2868194","2895623","2893154","2917717","2924753","2918711","2909159","2888564","2887130","2871734","2850392","2865028","2895364","2939677","2966464","2990219","3032098","3028252","3070703",
"Dominican Republic","DOM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2470572","2533001","2615850","2692489","2762003","2840318","2919585","3005348","3087328","3168452","3246426","3246913","3331113","3342971","3424410","3480355","3593807","3660256","3757662","3690074","3844470","4015614","4176432","4236156","4325193","4579344","4685793","4752184","4931651","5091385","4804576","5101650",
"Algeria","DZA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6367101","6625804","6864265","7143935","7424464","7678597","7968414","8233015","8477091","8701391","8926622","9145785","9355943","9556009","9747177","9916026","10077550","10244513","10402785","10551825","10832191","11067848","11293832","11793700","11279335","11709818","11918421","12067163","12221429","12396383","11857820","12260834",
"East Asia & Pacific (excluding high income)","EAP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","846708373","859669852","873752810","886234027","901634360","916385252","932175083","947545295","963911892","978837595","994391659","1007014029","1018079865","1030015992","1041792097","1052378160","1062118003","1073067073","1078785464","1082845490","1087009365","1101056993","1109241251","1114104520","1122165682","1129154579","1133889030","1136627603","1142631575","1148353332","1139155568","1145375864",
"Early-demographic dividend","EAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","733800382","753480793","773508975","790955278","813095323","831487365","852745625","874870181","897769755","920396139","941173800","963622069","983858839","1007544610","1032843091","1055627954","1071596260","1090563638","1104501233","1119692877","1137037206","1151598240","1167284148","1183744247","1198436050","1216713581","1233931893","1251193674","1268710907","1292560366","1247061984","1287556776",
"East Asia & Pacific","EAS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953711598","968828197","984523939","997975472","1014822783","1030789650","1048037928","1064825825","1081125307","1096447030","1112758554","1125964528","1137315183","1149308071","1161780361","1173216967","1183973975","1196024541","1202458418","1206738890","1211459462","1226053678","1234858916","1240849858","1250218651","1258396086","1264312300","1268442029","1276242758","1283385789","1273672740","1279555357",
"Europe & Central Asia (excluding high income)","ECA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163064148","164885111","166428066","164019498","163808768","163728444","163052174","161699663","161735323","166509255","166318125","165891784","167504818","167425155","167697901","168724841","169123896","171232619","172929321","173757835","175173081","176975594","177600729","178690611","179920406","181192354","182400593","183268957","183864962","183496657","179322099","179541409",
"Europe & Central Asia","ECS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385782146","390194549","391877135","389220461","389245497","389167453","389169833","389041033","390741079","397221086","398288163","398152614","400896948","402807307","404530574","408507072","411325943","415336069","419307601","420943078","422733165","424536554","426912323","428853769","431161981","433200503","436078798","438177083","439848361","440574526","434305693","435871948",
"Ecuador","ECU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4048253","4175570","4285085","4389776","4510027","4617573","4722823","4891099","5169290","5172094","5171107","5345861","5528235","5717711","6049202","6151040","6391164","6431062","6561532","6457727","6467670","6517322","6732540","6857058","7045425","7548659","7951902","8190955","8227052","8387366","7769265","8652008",
"Egypt, Arab Rep.","EGY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15709740","16171285","16784931","17515926","18400048","18571620","18866025","19171581","19483789","20736023","20772661","20792032","20589710","21665374","22756746","23853892","24954021","26081669","26485023","27281764","28739909","29061496","29544120","30181705","30655760","30540697","30927659","30428647","29899859","29708925","29815653","30223374",
"Euro area","EMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138531453","140864435","140974962","141269565","141951155","142184743","143157519","144001084","145570458","147044501","148069147","148588354","150577063","152765180","153925367","156281373","158003634","159578338","161212465","161588646","161717981","161423250","162514551","162916300","163259904","163605542","164894817","165564267","166277260","167040414","165204010","166633701",
"Eritrea","ERI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949353","900469","847014","877096","905650","974710","1031954","1028976","1030824","1036312","1046588","1075435","1115837","1170621","1225484","1249487","1267417","1284303","1329182","1371280","1404850","1439887","1467698","1496989","1504011","1516763","1525017","1545249","1573806","1609065","1632150","1678708",
"Spain","ESP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15478563","15616294","15839408","16072158","16414513","16540581","16812772","17144954","17408243","17726769","18242081","18127539","18960316","19731180","20419303","21197696","21880145","22508326","23150283","23364217","23482007","23558861","23569775","23332032","23091303","23036096","22977373","22897892","22930163","23139046","22838137","23384137",
"Estonia","EST","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","828685","811639","775087","741363","727911","704564","690971","690544","674519","669230","677885","666973","654956","675620","677677","673381","692994","690862","696060","688933","682870","687615","683905","680462","675361","682934","691074","697561","702032","700314","700236","702973",
"Ethiopia","ETH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19987748","20763893","21552849","22231492","22930905","23780950","24648333","25506779","26365807","27260673","28200765","29203264","30286923","31429892","32612713","33834089","34936339","36102316","37315622","38592274","39960421","41421327","42951636","44510241","46088892","47702127","49378715","51103465","52819442","54535676","55819517","58059359",
"European Union","EUU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191400759","194093608","194296516","194169486","194358208","194240222","194618140","195553241","196996859","198531002","199430908","199667657","200327303","201967778","203184852","205559046","207457115","209082255","210830286","211341655","211586687","211162756","212525850","213043394","213729225","214080411","215269191","216396820","217097255","217928674","215817128","217041915",
"Fragile and conflict affected situations","FCS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180627408","184967221","189497221","194111576","199331345","204912223","209527815","214081363","219050905","224303116","229660567","234958237","240471969","246226480","252328530","258457043","264260067","270000423","275664064","281387638","287436897","294158931","298249612","303202297","309946987","317017111","323743883","330142008","337712462","344356812","343333170","353265753",
